Full Name	Stage Name	Korean Name	Korean Stage Name	Birthday	Group	Country	Gender
Aria	Baby Gauthami	베이비 고타미	아리아	2003-03-12	X:IN	India	F
Arie	Jeon Minjae	전민재	아리	2000-04-07	MIXX	South Korea	F
Arin	Choi Yewon	최예원	아린	1999-06-18	Oh My Girl	South Korea	F
Aron	Kwak Youngmin	곽영민	아론	1993-05-21	NU'EST	South Korea	M
Arthur	Jang Yunho	장윤호	아서	2000-04-15	Kingdom	South Korea	M
Asa	Enami Asa	에나미 아사	아사	2006-04-17	BABYMONSTER	Japan	F
Asahi	Hanada Asahi	하나다 아사히	아사히	2001-08-20	Treasure	Japan	M
Ashley	Ashley Choi	애슐리 최	애슐리	1991-11-09	Ladies' Code	South Korea	F
Aurora	Yang Lan	양안	오로라	1997-01-14	NATURE	China	F
Ayamy	Suzuki Ayami	스즈키 아야미	아야미	2000-07-15	Bling Bling	Japan	F
Ayden	Kwon Yejun	권예준	에이든	2005-01-24	EPEX	South Korea	M
Ayeon	Son Minji	손민지	아연	2002-09-29	Saturday	South Korea	F
Ayno	Noh Yoonho	노윤호	에이노	1996-05-01	VAV	South Korea	M
B-Bomb	Lee Minhyuk	이민혁	비범	1990-12-14	Block B	South Korea	M
B-Joo	Kim Byungjoo	김병주	비주	1994-01-08	Topp Dogg	South Korea	M
B.I	Kim Hanbin	김한빈	비아이	1996-10-22		South Korea	M
B.S	Lee Youngsoo	이영수	비에스	1995-04-14	14U	South Korea	M
Babysoul	Lee Soojung	이수정	베이비소울	1992-07-06	Lovelyz	South Korea	F
Bada	Kim Bada	김바다	바다	2002-05-28	Hinapia	South Korea	F
Bae	Bae Jinsol	배진솔	배이	2004-12-28	NMIXX	South Korea	F
Baek Seung	Kim Hyunwoo	김현우	백승	2004-10-05	EPEX	South Korea	M
Baekah	Kim Sua	김수아	백아	1999-10-24	XUM	South Korea	F
Baekgyeul	Baek Sunwoo	백결	백선우	1999-12-01	E'LAST	South Korea	M
Baekho	Kang Dongho	강동호	백호	1995-07-21	NU'EST	South Korea	M
Baekhyun	Byun Baekhyun	변백현	백현	1992-05-06	EXO	South Korea	M
Bahiyyih	Huening Bahiyyih	휴닝바히에	바히에	2004-07-27	Kep1er	USA	F
Bain	Song Byeonghee	송병희	배인	2001-05-04	JUST B	South Korea	M
BamBam	Kunpimook Bhuwakul	꾼삐묵 부와꾼	뱀뱀	1997-05-02	GOT7	Thailand	M
Bang Chan	Bang Chan	방찬	방찬	1997-10-03	Stray Kids	Australia	M
Bao	Bae Sungyeob	배성엽	바오	1996-05-12	XEED	South Korea	M
Baro	Cha Sunwoo	차선우	바로	1992-09-05		South Korea	M
Baron	Choi Chunghyeop	최충협	바론	1992-04-19		South Korea	M
BC	Jin Sungho	진성호	비시	1994-07-18	1TEAM	South Korea	M
Bekah	Rebecca Kim	김레베카	베카	1989-08-11		South Korea	F
BEL	Choi Sunghoon	최성훈	벨	2000-05-21	DUSTIN	South Korea	M
Belle	Jin Hyeonjoo	진현주	벨	2001-11-03	Cignature	South Korea	F
Belle	Shim Hyewon	심혜원	벨	2004-03-20	KISS OF LIFE	South Korea	F
Benji	Baek Jaewook	배제욱	벤지	1992-05-03	B.I.G	USA	M
Beomgyu	Choi Beomgyu	최범규	범규	2001-03-13	TXT	South Korea	M
Beomsoo	Kim Beomsoo	김범수	범수	2000-09-29	XODIAC	South Korea	M
Bessie	Kim Susanna	김수산나	베시	2004-07-15	Lapillus	South Korea	F
Bian	Yu Jiwon	유지원	비안	2001-02-13	MAJORS	South Korea	F
BIBI	Kim Hyungseo	김형서	비비	1998-09-27		South Korea	F
Bic	Nam Seungmin	남승민	빅	2001-04-25	MCND	South Korea	M
Bin	Kwon Soobin	김수빈	빈	1993-10-28	Hot Blood Youth	South Korea	M
Bit	No Minjae	노민재	빛	2004-07-21	BAE173	South Korea	M
Bitsaeon	Kim Sangyeon	김상연	빛새온	1995-06-04	MONT	South Korea	M
Bitto	Lee Changhyun	이창현	비토	1996-08-24	UP10TION	South Korea	M
Blue	Jung Gahee	정가희	파랑	1994-01-18	Pungdeng-E	South Korea	F
BM	Matthew Kim	매튜김	비엠	1992-10-20	KARD	South Korea	M
BoA	Kwon Boa	권보아	보아	1986-11-05		South Korea	F
Boa	Kim Boah	김보아	보아	1987-01-14	KEEMBO	South Korea	F
Bobby	Kim Jiwon	김지원	바비	1995-12-21	iKON	South Korea	M
Boeun	Park Boeun	박보은	보은	2008-02-11	CLASS:y	South Korea	F
Bohyung	Kim Bohyung	김보형	보형	1991-03-31	KEEMBO	South Korea	F
Bokeun	Kim Bokeun	김복은	복은	1994-10-12	SIGNAL	South Korea	M
Bom	Park Bom	박봄	봄	1984-03-24	2NE1	South Korea	F
Bomi	Yoon Bomi	윤보미	보미	1993-08-13	Apink	South Korea	F
Bomin	Choi Bomin	최보민	보민	2000-08-24	Golden Child	South Korea	M
Bomin	Kim Bomin	김보민	보민	2001-09-24	RedSquare	South Korea	F
Bona	Kim Jiyeon	김지연	보나	1995-08-19	WJSN	South Korea	F
Boni	Choi Euijeong	최의정	보니	1999-10-30	Dreamnote	South Korea	F
Bora	Yoon Bora	윤보라	보라	1989-12-30	SISTAR	South Korea	F
Bora	Kim Bora	김보라	보라	1999-03-03	Cherry Bullet	South Korea	F
Boram	Jeon Boram	전보람	보람	1986-03-22		South Korea	F
Boyul	Kwon Boyul	권보율	보율	2002-01-21	WEUS	South Korea	M
Bullet	Jin Junwoo	진준우	블릿	1995-12-02	VARSITY	South Korea	M
BX	Lee Byounggon	이병곤	비엑스	1998-03-05	CIX	South Korea	M
Byeongkwan	Kim Byeongkwan	김병관	병관	1996-08-13	A.C.E	South Korea	M
Byungchan	Choi Byungchan	최병찬	병찬	1997-11-12	VICTON	South Korea	M
Byunghoon	Choi Byunghoon	최병훈	병훈	2000-04-26	CMDM	South Korea	M
C.A.P	Bang Minsoo	방민수	캡	1992-11-04	Teen Top	South Korea	M
Cao Lu	Cao Lu	차오루	차오루	1987-08-30	Fiestar	China	F
Casper	Chu Xiaoxiang	저효상	캐스퍼	1991-03-20	CROSS GENE	China	M
Castle J	Son Sangjoon	손성준	캐슬제이	1999-05-31	MCND	South Korea	M
Cha Hoon	Cha Hoon	차훈	차훈	1994-07-12	N.Flying	South Korea	M
Chaebin	Choi Yoobin	최유빈	채빈	1999-07-28	NATURE	South Korea	F
Chaeeun	Yoon Chaeeun	윤채은	채은	2005-12-10	ADYA	South Korea	F
Chaehyun	Kim Chaehyun	김채현	채현	1999-11-29	Bonus Baby	South Korea	F
Chaehyun	Kim Chaehyun	김채현	채현	2002-04-26	Kep1er	South Korea	F
Chaein	Lee Chaeyoung	이채영	채인	2002-12-05	Purple Kiss	South Korea	F
Chaejeong	Lee Chaejeong	이채정	채정	1999-08-26	ALICE	South Korea	F
Chaejin	Chae Jinseok	채진석	채진	1995-12-26	MYNAME	South Korea	M
Chaekyung	Yoon Chaekyung	윤채경	채경	1996-07-07	APRIL	South Korea	F
Chaelin	Lee Chaelin	이채린	채린	1999-10-20	FANATICS	South Korea	F
Chaerin	Park Chaerin	박채린	채린	2002-03-13	Cherry Bullet	South Korea	F
Chaerin	Park Chaerin	박채린	채린	2003-03-31	ICHILLIN'	South Korea	F
Chaerin	Lee Chaerin	이채린	채린	2007-07-07	KELT9b	South Korea	F
Chaeryeong	Lee Chaeryeong	이채령	채령	2001-06-05	ITZY	South Korea	F
Chaesol	Maeng Chaesol	맹채솔	채솔	1998-07-14	Cignature	South Korea	F
Chaewon	Kim Chaewon	김채원	채원	1997-11-08	APRIL	South Korea	F
Chaewon	Kim Chaewon	김채원	채원	2000-08-01	LE SSERAFIM	South Korea	F
Chaewon	Lee Chaewon	이채원	채원	2000-03-18	Maka Maka	South Korea	F
Chaewon	Yoon Chaewon	윤채원	채원	2003-06-04	CLASS:y	South Korea	F
ChaeY	Song Chaeyeon	송채연	채이	2003-01-06	CRAXY	South Korea	F
Chaeyeon	Jung Chaeyeon	정채연	채연	1997-12-01	DIA	South Korea	F
Chaeyeon	Kim Chaeyeon	김채연	채연	2004-12-04	tripleS	South Korea	F
Chaeyeon	Lee Chaeyeon	이채연	채연	2000-01-11	IZ*ONE	South Korea	F
Chaeyoung	Son Chaeyoung	손채영	채영	1999-04-23	Twice	South Korea	F
Chaeyoung	Lee Chaeyoung	이채영	채영	2000-05-14	fromis_9	South Korea	F
Chahee	Park Sooyoung	박수영	차희	1996-03-24	MELODYDAY	South Korea	F
Chan	Jung Chanwoo	정찬우	찬	1998-01-26	iKON	South Korea	M
Chan	Kang Yoochan	강유찬	찬	1997-12-31	A.C.E	South Korea	M
Chan	Jo Chanhyuk	조찬혁	찬	1999-12-08	TOO	South Korea	M
Changbin	Seo Changbin	서창빈	창빈	1999-08-11	Stray Kids	South Korea	M
Changbum	Woo Changbum	우창범	창범	1993-10-07		South Korea	M
Changgyu	Song Changgyu	송창규	창규	1993-07-06	UNVS	South Korea	M
Changjo	Choi Jonghyun	최종현	창조	1995-11-16	Teen Top	South Korea	M
Changsub	Lee Changsub	이창섭	창섭	1991-02-26	BtoB	South Korea	M
Changsun	Lee Changsun	이창선	창선	1996-03-17	24K	South Korea	M
Changuk	Joo Changuk	주창욱	창욱	2001-07-25	DRIPPIN	South Korea	M
Chani	Kang Chanhee	강찬희	찬희	2000-01-17	SF9	South Korea	M
Chanmi	Kim Chanmi	김찬미	찬미	1996-06-19	AoA	South Korea	F
Chansung	Hwang Chansung	황찬성	찬성	1990-02-11	2PM	South Korea	M
Chanty	Maria Chantal Videla	마리아 샹탈 비델라	샨티	2002-12-15	Lapillus	Philippines	F
Chanwon	An Chanwon	안찬원	찬원	2008-03-21	The Wind	South Korea	M
Chanwook	Yang Chanwook	양찬욱	찬욱	2002-02-25	WEUS	South Korea	M
Chanyeol	Park Chanyeol	박찬열	찬열	1992-11-27	EXO	South Korea	M
Chanyong	Kim Chanyong	김찬용	찬용	1993-04-29	FAVE1	South Korea	M
Chanyoung	Kim Chanyoung	김찬영	찬영	2000-11-20	D-CRUNCH	South Korea	M
Chanyoung	Jung Chanyoung	정찬영	찬영	2004-01-31	HAWW	South Korea	M
Chen	Kim Jongdae	김종대	첸	1992-09-21	EXO	South Korea	M
Cheng Xiao	Cheng Xiao	청샤오	성소	1998-07-15		China	F
Chenle	Zhong Chenle	중천러	천러	2001-11-22	NCT	China	M
Cheongeum	Jang Cheongeum	장청음	청음	1996-06-19	Ho1iday	South Korea	F
Chi.u	Lee Jaeyi	이재이	치유	1998-08-16	X:IN	South Korea	F
Chiayi	Li Chiayi	지아이	지아이	2000-01-22	FANATICS	Taiwan	F
Chihoon	Choi Chihoon	최치훈	치훈	1999-04-27	TOO	South Korea	M
Chiquita	Riracha Phondechaphiphat	리라차 폰데차피팟	치키타	2009-02-17	BABYMONSTER	Thailand	F
Chiwoo	Guk Seungjun	국승준	치우	2002-09-02	Kingdom	South Korea	M
Chloe	Yun Jiwon	윤지원	클로이	2001-01-06	Cignature	South Korea	F
Choa	Park Choa	박초아	초아	1990-03-06		South Korea	F
Choa	Heo Minjin	허민진	초아	1990-07-12	Crayon Pop	South Korea	F
Choerry	Choi Yerim	최예림	최리	2001-06-04	ARTMS	South Korea	F
Choi In	Choi In	최인	최인	1996-02-11	E'LAST	South Korea	M
Choi Jiann	Choi Jaewoo	최재우	최지안	1997-09-30	Newkidd	South Korea	M
Chorong	Park Chorong	박초롱	초롱	1991-03-03	Apink	South Korea	F
Chowon	Han Chowon	한초원	초원	2002-09-16	LIGHTSUM	South Korea	F
Chowon	Kim Chowon	김초원	초원	2005-08-18	ICHILLIN'	South Korea	F
Choyeon	Kim Choyeon	김초연	초연	2001-08-01	bugAboo	South Korea	F
Chris	Han Chris	한 크리스	크리스	2002-11-19	BLITZERS	South Korea	M
Chungha	Kim Chungha	김청하	청하	1996-02-09		South Korea	F
Chunji	Lee Chanhee	이찬희	천지	1993-10-05	Teen Top	South Korea	M
Chuu	Kim Jiwoo	김지우	츄	1999-10-20		South Korea	F
CL	Lee Chaerin	이채린	씨엘	1991-02-26	2NE1	South Korea	F
CNU	Shin Dongwoo	신동우	신우	1991-06-16	B1A4	South Korea	M
Cory	Hong Joohyung	홍주현	코리	1990-11-25	24K	South Korea	M
Cui Xiang	Cui Xiang	최상	최상	1995-01-26	BOTOPASS	China	F
Cya	Lee Giwook	이기욱	키야	2000-01-24	Onewe	South Korea	M
Cyan	Lee Chaeeun	이채은	시안	2001-04-04	bugAboo	South Korea	F
D.ana	Cho Eunae	조은애	디애나	1995-09-10	Sonamoo	South Korea	F
D.O.	Do Kyungsoo	도경수	디오	1993-01-12	EXO	South Korea	M
D1	Jang Dongil	장동일	디원	1998-02-15	DKB	South Korea	M
Dabi	Park Jiwon	박지원	다비	2000-01-19	AREAL	South Korea	F
Daehwi	Lee Daehwi	이대휘	대휘	2001-01-29	AB6IX	South Korea	M
Daehyeon	Jang Daehyeon	장대현	대현	1997-02-11	WEi	South Korea	M
Daehyun	Jung Daehyun	정대현	대현	1993-06-28	B.A.P	South Korea	M
Daeil	Kim Daeil	김대일	대일	1992-05-10		South Korea	M
Daesung	Daesung	강대성	대성	1989-04-26	BIGBANG	South Korea	M
Daeun	Jung Daeun	정다은	정다은	1994-06-03	2EYES	South Korea	F
Daewang Nim	Daewang Nim	대왕님	대왕님	1996-04-08	Pink Fantasy	South Korea	F
Daeyeol	Lee Daeyeol	이대열	대열	1993-02-11	Golden Child	South Korea	M
Dahye	Song Dahye	송다혜	다혜	1993-06-12		South Korea	F
Dahyun	Kim Dahyun	김다현	다현	1998-05-28	Twice	South Korea	F
Dahyun	Jeong Dahyun	정다현	다현	2005-04-29	Rocket Punch	South Korea	F
Dahyun	Seo Dahyun	서다현	다현	2003-01-08	tripleS	South Korea	F
Dain	Song Jieun	송지은	다인	1990-06-25		South Korea	F
Dain	Jung Dain	정다인	다인	2004-12-15	HOT ISSUE	South Korea	F
Daisy	Yoo Jeongahn	유정안	데이지	1999-01-22		South Korea	F
Dajeong	Kim Dajeong	김다정	다정	1995-08-08	Hashtag	South Korea	F
Dajeong	Jung Dajeong	정다정	다정	2003-07-31	Pixy	South Korea	F
Dakyung	Jung Dakyung	정다경	다경	2001-07-23	Hi-L	South Korea	F
Dalyn	Lee Sohyun	이소현	달린	1999-08-27	ANS	South Korea	F
Damhee	Park Damhee	박담희	담희	2000-06-21	ARTBEAT	South Korea	F
Dami	Lee Yoobin	이유빈	다미	1997-03-07	Dreamcatcher	South Korea	F
Dami	Hong Dayoung	홍다영	담이	2001-06-07	ANS	South Korea	F
Damin	Kang Damin	강다민	다민	2004-03-24	Queenz Eye	South Korea	F
Damon	Hu Boohan	후보한	데이먼	1996-07-02	VARSITY	China	M
Dan-a	Park Seungyeon	박승연	단아	1993-06-26	Matilda	South Korea	F
Dana	Jang Dana	장다나	다나	2003-12-25	HOT ISSUE	South Korea	F
Daniel	Kang Daniel	강다니엘	다니엘	1996-12-10	Wanna One	South Korea	M
Danielle	Mo Jihye	모지혜	다니엘	2005-04-11	NewJeans	South Korea	F
Dann	Jung Seungbo	정승보	단	1997-11-01	Kingdom	South Korea	M
Dany	Jeon Eunji	전은지	다니	1998-01-20	Ho1iday	South Korea	F
Daon	Ahn Seonil	안선일	다온	2000-12-10	DUSTIN	South Korea	M
Dara	Park Sandara	박산다라	다라	1984-11-12	2NE1	South Korea	F
Daseul	Yang Daseul	양다슬	다슬	2000-09-14	Maka Maka	South Korea	F
Dasom	Kim Dasom	김다솜	다솜	1993-05-06	SISTAR	South Korea	F
Dasom	Lee Dasom	이다솜	다솜	1993-11-13	2EYES	South Korea	F
Davin	Kim Davin	김다빈	다빈	2002-05-30	XODIAC	South Korea	M
Dawon	Nam Dawon	남다원	다원	1997-03-16	WJSN	South Korea	F
Dawon	Lee Sanghyuk	이상혁	다원	1995-07-24	SF9	South Korea	M
Dawon	Cho Dawon	조다원	다원	2000-05-12	VARSITY	South Korea	M
Dawon	Lee Dawon	이다원	다원	1996-12-02	ARIAZ	South Korea	F
Daye	Kim Hyunjung	김현정	다예	1998-02-25	Berry Good	South Korea	F
Dayeon	Hwang Da Kyeon	황연경	다연	1995-11-17	XUM	South Korea	F
Dayeon	Kim Dayeon	김다연	다연	2003-03-02	Kep1er	South Korea	F
Dayoung	Kim Dayoung	김다영	다영	1991-02-02	Blady	South Korea	F
Dayoung	Im Dayoung	임다영	다영	1999-05-14	WJSN	South Korea	F
Dayun	Kim Dayun	김다윤	다윤	2000-11-20	Bonus Baby	South Korea	F
Della	Park Sehyun	박세현	델라	1995-09-03	Rockit Girl	South Korea	F
Denise	Kim Denise	김데니스	데니스	2001-01-11		South Korea	F
Dey	Kim Sehyun	김세현	데이	2003-06-11	YOUNITE	South Korea	M
Dia	Kwak Minnyeong	곽민녕	디아	1999-09-03	Maka Maka	South Korea	F
Dia	Choi Eunji	최은지	디아	2001-07-16	Pixy	South Korea	F
Dino	Lee Chan	이찬	디노	1999-02-11	Seventeen	South Korea	M
Dita	Dita Karang	디타 가랑	디타	1996-12-25	SECRET NUMBER	Indonesia	F
DK	Lee Seongmin	이석민	도겸	1997-02-18	Seventeen	South Korea	M
DK	Kim Donghyuk	김동혁	디케이	1997-01-03	iKON	South Korea	M
DK	Kim Dokyun	김도균	닥	1998-02-16	BLANK2Y	South Korea	M
Do-A	Choi Yuna	최윤아	도아	1999-02-02	ALICE	South Korea	F
Doa	Im Youngseo	임영서	도아	2001-10-29	We;Na	South Korea	F
Doah	Kim Doah	김도아	도아	2003-12-04	FANATICS	South Korea	F
Doha	Na Gyumin	나규민	도하	2004-03-07	BAE173	South Korea	M
Doha	Park Doha	박도하	도하	1992-03-27	XEED	South Korea	M
Dohee	Yoon Dohee	윤도희	도희	1999-09-24		South Korea	F
Dohee	Min Dohee	민도희	도희	1994-09-25	Tiny-G	South Korea	F
Dohee	Kwon Dohee	권도희	도희	2002-08-01	Cignature	South Korea	F
Dohwan	Gil Dohwan	길도환	도환	2003-08-26	Ciipher	South Korea	M
Dohyon	Nam Dohyon	남도현	도현	2004-11-10	BAE173	South Korea	M
Dohyuk	Kim Dohyuk	김도혁	도혁	1998-01-16	14U	South Korea	M
Doi	Kim Doi	김도이	도이	1994-04-12	FANATICS	South Korea	F
Dojin	Jeon Yongtae	전용태	도진	1997-03-07	ENOi	South Korea	M
Dokyun	Na Dokyun	나도균	도균	1991-02-11	HISTORY	South Korea	M
Donggeon	Song Donggeon	송동건	동건	1999-07-15	TOO	South Korea	M
Donghae	Lee Donghae	이동해	동해	1986-10-15	Super Junior	South Korea	M
Donghan	Kim Donghan	김동한	동한	1998-07-03	WEi	South Korea	M
Dongheon	Lee Dongheon	이동헌	동헌	1995-08-04	Verivery	South Korea	M
Donghun	Lee Donghun	이동훈	동훈	1993-05-15	A.C.E	South Korea	M
Donghyuk	Park Donghyuk	박동혁	동혁	1999-12-18	BLANK2Y	South Korea	M
Donghyun	Kim Donghyun	김동현	동현	1989-02-12	Boyfriend	South Korea	M
Donghyun	Kim Donghyun	김동현	동현	1999-02-23	Golden Child	South Korea	M
Donghyun	Kim Donghyun	김동현	동현	1998-09-17	AB6IX	South Korea	M
Dongjun	Kim Dongjun	김동준	동준	1992-02-11	ZE:A	South Korea	M
Dongjun	Hwang Dongjun	황동준	동준	1999-09-07		South Korea	M
Dongkyu	Moon Dongkyu	문동규	동규	1992-11-16	Spectrum	South Korea	M
Dongmyeong	Son Dongmyeong	곤동명	동명	2000-01-20	Onewe	South Korea	M
Dongpyo	Son Dongpyo	손동표	동표	2002-09-09	Mirae	South Korea	M
Dongwan	Kim Dongwan	김동완	동완	1979-11-21	Shinhwa	South Korea	M
Dongwon	Lee Dongwon	이동원	동원	1994-01-01	KNK	South Korea	M
Dongwoo	Jang Dongwoo	장동우	동우	1990-11-22	Infinite	South Korea	M
Dongwoon	Son Dongwoon	손동운	동운	1991-06-06	Highlight	South Korea	M
Dongyun	Kim Dongyun	김동윤	동윤	2002-02-18	DRIPPIN	South Korea	M
Doojoon	Yoon Doojoon	윤두준	두준	1989-07-04	Highlight	South Korea	M
Doryun	Kim Doryun	킴도륜	도륜	2000-05-01	AIMERS	South Korea	M
Dosie	Jang Eunseung	장은성	도시	2000-02-11	Purple Kiss	South Korea	F
Douhyun	Yoo Douhyun	유도현	도현	2000-12-25	Mirae	South Korea	M
Dowoon	Yoon Dowoon	윤도운	도운	1995-08-25	DAY6	South Korea	M
Doyeon	Kim Doyeon	김도연	도연	1999-12-04	Weki Meki	South Korea	F
Doyoung	Kim Dongyoung	김동영	도영	1996-02-01	NCT	South Korea	M
Doyoung	Kim Doyoung	김도영	도영	2003-12-04	Treasure	South Korea	M
Duna	Kang Duna	강두나	두나	2005-04-28	CSR	South Korea	F
DY	Jeon Doyum	전도염	도염	2002-02-21	JUST B	South Korea	M
Dylan	Park Yeonjae	박연재	딜란	2002-07-26	D-CRUNCH	South Korea	M
E'Dawn	Kim Hyojong	김효종	이던	1994-06-01		South Korea	M
E-Chan	Lee Changmin	이창민	이찬	1997-02-19	DKB	South Korea	M
E-tion	Lee Changyoon	이창윤	이션	1994-12-24	ONF	South Korea	M
E-Young	Noh Yiyoung	노이영	이영	1992-08-16	After School	South Korea	F
E.Ji	Choi Jiwon	최지원	이지	2000-11-08	ICHILLIN'	South Korea	F
E.sha	Kwon Yena	권예나	이샤	1998-12-29	X:IN	Australia	F
E.sol	Jeon Jaehyuk	전재혁	이솔	1992-09-17	14U	South Korea	M
E:U	Park Jiwon	박지원	이유	1998-05-19	Everglow	South Korea	F
Eden	Jae Won	재원	이든	1998-03-27	NINE.i	South Korea	M
EJ	Kim Eunji	김은지	이제이	1997-08-13	ALICE	South Korea	F
Eli	Ellison Kim	엘리슨 킴	일라이	1991-03-13	U-KISS	USA	M
Elkie	Chong Ting Yan	쫑딩얀	엘키	1998-11-02		Hong Kong	F
Ella	Kim Kyungjoo	김경주	엘라	1998-03-26		South Korea	F
Ellin	Kim Minyoung	김민영	엘린	1990-04-02	Crayon Pop	South Korea	F
Elly	Jung Haerim	정해림	엘리	1998-07-20	Weki Meki	South Korea	F
Ellyn	Bang Sunhee	방선희	엘린	2002-10-19	Girlkind	South Korea	F
Elva	Lee Yonghwa	이용화	엘바	2003-05-05	ILY:1	South Korea	F
Eric	Son Youngjae	손영재	에릭	2000-12-22	The Boyz	South Korea	M
Eric	Moon Junghyuk	문정혁	에릭	1979-02-16	Shinhwa	South Korea	M
Eseo	Noh Hyunjung	노현정	이서	1996-03-04	LUNARSOLAR	South Korea	F
Eson	Kim Jungmin	김정민	이슨	1996-12-28	We In The Zone	South Korea	M
Euaerin	Lee Hyemin	이혜민	이유애린	1988-05-03		South Korea	F
Euijeong	Yeon Euijeong	연의정	연의정	2001-07-21	KELT9b	South Korea	F
Euijin	Hong Euijin	홍의진	의진	1996-10-08	Sonamoo	South Korea	F
Euijin	Lee Euijin	이의진	의진	1990-02-15	Bigflo	South Korea	M
Eun	Choi Eunmi	최은미	은	1990-05-14	Two X	South Korea	F
Euna			은아	2003-05-25	We;Na	South Korea	F
EunB	Shin Eunbi	신은비	은비	2000-09-17	Maka Maka	South Korea	F
EunB	Byun Eunbi	변은비	은비	2000-11-23	PRECIOUS	South Korea	F
Eunbi	Kwon Eunbi	권은비	은비	1995-09-27	IZ*ONE	South Korea	F
Eunbin	Kwon Eunbin	권은빈	은빈	2000-01-06	CLC	South Korea	F
Eunchae	Kwon Chaewon	권채원	은채	1999-05-26	DIA	South Korea	F
Eunchae	Son Eunchae	손은채	은채	1999-10-06	bugAboo	South Korea	F
Eunchae	Hong Eunchae	홍은채	은채	2006-11-10	LE SSERAFIM	South Korea	F
Eunchan	Choi Byeongseop	최병섭	은찬	2001-02-27	TEMPEST	South Korea	M
Eunha	Jung Eunbi	정은비	은하	1997-05-30	VIVIZ	South Korea	F
Eunho	Shin Donggeun	신동근	은호	1992-09-10	UNVS	South Korea	M
Eunho	Myung Eunho	명은호	은호	2001-03-25	YOUNITE	South Korea	M
Eunhyuk	Lee Hyukjae	이혁재	은혁	1986-04-04	Super Junior	South Korea	M
Eunice	Heo Sooyeon	허수연	유니스	1991-09-02	DIA	South Korea	F
Eunil	Kim Eunil	김은일	은일	2003-11-21	TRENDZ	South Korea	M
Eunjae	Kwak Eunjae	곽은재	은재	1996-05-02	14U	South Korea	M
Eunji	Jung Eunji	정은지	은지	1993-08-18	Apink	South Korea	F
Eunji	Hong Eunji	홍은지	은지	1992-07-19	Brave Girls	South Korea	F
Eunjin	Ahn Eunjin	안은진	은진	1997-08-31		South Korea	F
Eunjin	Ma Eunjin	마은진	은진	1997-05-23	Playback	South Korea	F
Eunjin	Moon Eunjin	문은진	은진	1998-11-05	Highteen	South Korea	F
Eunjo	Park Eunjo	박은조	은조	2002-03-07	Dreamnote	South Korea	F
